,test,train
2,0.9386281588447654,1.0
50,0.9386281588447654,1.0
100,0.9386281588447654,1.0
150,0.9386281588447654,1.0
200,0.9855595667870036,1.0
250,0.9855595667870036,1.0
300,0.9855595667870036,1.0
350,0.9855595667870036,1.0
400,0.9855595667870036,1.0
450,0.9855595667870036,1.0
500,0.9855595667870036,1.0
550,0.9855595667870036,1.0
600,0.9855595667870036,1.0
650,0.9855595667870036,1.0
700,0.9855595667870036,1.0
750,0.9855595667870036,1.0
800,0.9855595667870036,1.0
850,0.5,1.0
900,0.5,1.0
950,0.5,1.0
1000,0.5,1.0
1050,0.5,1.0
1100,0.5,1.0
1150,0.5,1.0
