,test,train
2,0.9386281588447654,0.9875968992248062
50,0.9386281588447654,0.9875968992248062
100,0.9386281588447654,0.9875968992248062
150,0.9386281588447654,0.9875968992248062
200,0.9476534296028881,0.9899224806201551
250,0.9476534296028881,0.9899224806201551
300,0.9494584837545126,0.9899224806201551
350,0.9476534296028881,0.9899224806201551
400,0.9476534296028881,0.9899224806201551
450,0.9494584837545126,0.9899224806201551
500,0.9476534296028881,0.9899224806201551
550,0.9494584837545126,0.9899224806201551
600,0.9494584837545126,0.9899224806201551
650,0.9476534296028881,0.9899224806201551
700,0.9530685920577617,0.9914728682170543
750,0.9548736462093863,0.9914728682170543
800,0.9566787003610109,0.9922480620155039
850,0.9584837545126353,0.9922480620155039
900,0.9566787003610109,0.9922480620155039
950,0.9602888086642599,0.9922480620155039
1000,0.9584837545126353,0.9922480620155039
1050,0.9584837545126353,0.9922480620155039
1100,0.9584837545126353,0.9922480620155039
1150,0.9584837545126353,0.9922480620155039
